RTECS_ID,CAS_RN,SMILES,rat_intramuscular_LD50
74050978,74050-97-8,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,2.541107623
74849937,74849-93-7,Cc1cc(=O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)c[nH]1,2.690302425
75443991,75443-99-1,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,4.335459505
75498963,75498-96-3,COC1(NC(=O)CSCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,1.733387044
82219816,82219-81-6,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3cnns3)CSC12)c1csc(N)n1,2.011661775
82947624,82947-62-4,N#CC1(C#N)C2CC(C(Cl)C2Cl)C1(C(F)(F)F)C(F)(F)F,6.631588526
85287612,85287-61-2,O=C(O)C1=C(C[n+]2ccc(CCS(=O)(=O)O)cc2)CSC2C(NC(=O)C(NC(=O)c3[nH]cnc3C(=O)O)c3ccccc3)C(=O)N12,2.747987637
85801021,85801-02-1,COc1ccc2c(c1)c(CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,2.448822219
86387533,86387-53-3,CCN(CC)CCS/C(=N\O)c1ccc(C)cc1,2.386136403
100911497,100911-49-7,NCCN1CCCCC1,2.173453934
102787235,102787-23-5,CN(C)Cc1ccc(CSCCN=C(C[N+](=O)[O-])N2CCN(C)CC2)o1,2.282755756
104931875,104931-87-5,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OC(CO)C(O)C(N)C1O,2.949339714
105239916,105239-91-6,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[N+]34CCC(C(N)=O)(CC3)CC4)CSC12)c1nsc(N)n1,2.04267866
106566589,106566-58-9,Cl[TeH]1(Cl)(Cl)OCCO1,4.469849987
120020260,120020-26-0,CC1CCC2C(C)C(OCc3ccc(C(=O)O)cc3)OC3OC4(C)CCC1C32OO4,2.893327152
120103357,120103-35-7,NC(=O)c1cc[n+](COC[n+]2ccc(C=NO)cc2C=NO)cc1,2.771300521
121808626,121808-62-6,O=C1CCC(C(=O)N2CSCC2C(=O)O)N1,1.785813697
131275144,131275-14-4,c1ccc(CNCCCNCCCCCCCNCCCNCc2ccccc2)cc1,2.967193263
1215834,1215-83-4,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,3.228904917
1224642,1224-64-2,CCCCP(=O)(CCCC)Oc1ccc([N+](=O)[O-])cc1,4.949777597
1253287,1253-28-7,CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,3.015554641
1263894,1263-89-4,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,2.710141351
1397893,1397-89-3,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,2.266744736
1403663,1403-66-3,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,3.013486055
1407052,1407-05-2,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,2.940151514
1422077,1422-07-7,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.158144942
3254895,3254-89-5,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,2.609781105
3615245,3615-24-5,Cc1c(NC(C)C)c(=O)n(-c2ccccc2)n1C,2.475929725
3689245,3689-24-5,CCOP(=S)(OCC)OP(=S)(OCC)OCC,6.767931302
3724898,3724-89-8,NCCSP(=O)(O)O,2.492970496
4756132,4756-13-2,SCC(S)CS,3.868297879
7681938,7681-93-8,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.716090116
7750756,7750-75-6,O=C1CNC(=O)N1CN(CCCl)CCCl,4.043305884
7751317,7751-31-7,O=c1oc2ccccc2n1CN(CCCl)CCCl,4.558051233
25546650,25546-65-0,NCC1OC(OC2C(N)CC(N)C(O)C2OC2OC(CO)C(O)C2O)C(N)C(O)C1O,2.370178026
25717800,25717-80-0,CCOC(=O)Nc1c[n+](N2CCOCC2)no1,2.26546642
26016999,26016-99-9,CC1OC1P(=O)(O)O,1.749129616
32665364,32665-36-4,COC(CN1CCN(CCC(O)c2ccccc2)CC1)c1ccccc1,3.403480853
41542501,41542-50-1,CCN(CC)CCS/C(=N/O)c1ccc(Br)cc1,2.579677422
43119477,43119-47-7,Cc1c(C)c2c(c(C)c1OC(=O)c1cccnc1)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,2.729013246
43200802,43200-80-2,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,3.119920995
89567033,89567-03-3,O=c1nc(CCl)[nH]c2sc3c(c12)CCCC3,1.86203251
90098047,90098-04-7,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,2.26810036
90764560,90764-56-0,NC(CCCCNC(=O)CI)C(=O)O,3.872817641
93107085,93107-08-5,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,3.043161788
208186861,208186-86-1,NC(=O)c1cc[n+](CC=CC[n+]2ccccc2C=NO)cc1,3.049838583
