RTECS_ID,CAS_RN,SMILES,bird - wild_oral_LD50
2425107,2010/7/25,CNC(=O)Oc1ccc(C)c(C)c1,3.901201532
2463845,2463-84-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,4.297623382
3254635,3254-63-5,COP(=O)(OC)Oc1ccc(SC)cc1,5.646683736
3279467,3279-46-7,C#CCOc1ccccc1OC(=O)NC,3.658992356
3682357,3682-35-7,c1ccc(-c2nc(-c3ccccn3)nc(-c3ccccn3)n2)nc1,4.744885729
3689245,3689-24-5,CCOP(=S)(OCC)OP(=S)(OCC)OCC,3.508293991
3692908,3692-90-8,C#CCOc1cccc(OC(=O)NC)c1,4.13611361
3731519,3731-51-9,NCc1ccccn1,2.284266114
4556234,4556-23-4,S=c1cc[nH]cc1,2.170922436
7682908,7682-90-8,CCOP(=S)(OCC)Oc1nn2c(C)cc(C)nc2c1Br,5.21553953
7700176,7700-17-6,COP(=O)(OC)OC(C)=CC(=O)OC(C)c1ccccc1,3.747572138
7745893,7745-89-3,Cc1ccc(N)cc1Cl,4.770855079
7745917,7745-91-7,Cc1ccc(N)cc1Br,4.990880742
25606411,25606-41-1,CCCOC(=O)NCCCN(C)C,1.79048359
32575807,32575-80-7,CCOP(=S)(OCC)Oc1nn2c(C)cc(C)nc2c1Cl,5.038644995
63980892,63980-89-2,CCOP(=O)(O)Sc1ccc(C)cc1,5.16181891
